WARNING_AREA,TYPE,START_DAY,START_TIME,END_DAY,END_TIME
봉화평지,HW,20210713,AM,20210713,PM
문경,HW,20210713,AM,20210713,PM
청도,HW,20210713,AM,20210713,PM
영덕,HW,20210713,AM,20210713,PM
청송,HW,20210713,AM,20210713,PM
영주,HW,20210713,AM,20210713,PM
고령,HW,20210713,AM,20210713,PM
흑산면제외,HW,20210713,AM,20210713,PM
목포,HW,20210713,AM,20210713,PM
영암,HW,20210713,AM,20210713,PM
완도,HW,20210713,AM,20210713,PM
해남,HW,20210713,AM,20210713,PM
강진,HW,20210713,AM,20210713,PM
여수,HW,20210713,AM,20210713,PM
보성,HW,20210713,AM,20210713,PM
고흥,HW,20210713,AM,20210713,PM
장성,HW,20210713,AM,20210713,PM
증평,HW,20210713,AM,20210713,PM
음성,HW,20210713,AM,20210713,PM
진천,HW,20210713,AM,20210713,PM
괴산,HW,20210713,AM,20210713,PM
보은,HW,20210713,AM,20210713,PM
당진,HW,20210713,AM,20210713,PM
서천,HW,20210713,AM,20210713,PM
계룡,HW,20210713,AM,20210713,PM
보령,HW,20210713,AM,20210713,PM
서산,HW,20210713,AM,20210713,PM
태안,HW,20210713,AM,20210713,PM
강원북부산지,HW,20210713,AM,20210713,PM
강원중부산지,HW,20210713,AM,20210713,PM
강원남부산지,HW,20210713,AM,20210713,PM
양구평지,HW,20210713,AM,20210713,PM
정선평지,HW,20210713,AM,20210713,PM
삼척평지,HW,20210713,AM,20210713,PM
동해평지,HW,20210713,AM,20210713,PM
평창평지,HW,20210713,AM,20210713,PM
강릉평지,HW,20210713,AM,20210713,PM
양양평지,HW,20210713,AM,20210713,PM
고성평지,HW,20210713,AM,20210713,PM
인제평지,HW,20210713,AM,20210713,PM
속초평지,HW,20210713,AM,20210713,PM
횡성,HW,20210713,AM,20210713,PM
철원,HW,20210713,AM,20210713,PM
영월,HW,20210713,AM,20210713,PM
여주,HW,20210713,AM,20210713,PM
안산,HW,20210713,AM,20210713,PM
군포,HW,20210713,AM,20210713,PM
성남,HW,20210713,AM,20210713,PM
광명,HW,20210713,AM,20210713,PM
광주,HW,20210713,AM,20210713,PM
의왕,HW,20210713,AM,20210713,PM
평택,HW,20210713,AM,20210713,PM
오산,HW,20210713,AM,20210713,PM
구리,HW,20210713,AM,20210713,PM
안양,HW,20210713,AM,20210713,PM
수원,HW,20210713,AM,20210713,PM
의정부,HW,20210713,AM,20210713,PM
양주,HW,20210713,AM,20210713,PM
고양,HW,20210713,AM,20210713,PM
포천,HW,20210713,AM,20210713,PM
동두천,HW,20210713,AM,20210713,PM
김포,HW,20210713,AM,20210713,PM
부천,HW,20210713,AM,20210713,PM
시흥,HW,20210713,AM,20210713,PM
과천,HW,20210713,AM,20210713,PM
남원,HW,20210713,AM,20210713,PM
임실,HW,20210713,AM,20210713,PM
무주,HW,20210713,AM,20210713,PM
진안,HW,20210713,AM,20210713,PM
군산,HW,20210713,AM,20210713,PM
부안,HW,20210713,AM,20210713,PM
고창,HW,20210713,AM,20210713,PM
장수,HW,20210713,AM,20210713,PM
